Date;Heure;Score;Score max;Essai;;;;;;;;;;;;MOY score;Entendu score;temps jeu;Nombre essai;Temps moyen essai (secondes) 
23/07/2023;00:01:58;90;103;1;;;;;;;;;;;;62,8;107;00:30:38;941;3,21
23/07/2023;00:02:00;89;103;2;;;;;;;;;;;;;;;;
23/07/2023;00:02:03;64;103;3;;;;;;;;;;;;;;;;
23/07/2023;00:02:04;59;103;4;;;;;;;;;;;;;;;;
23/07/2023;00:02:06;60;103;5;;;;;;;;;;;;;;;;
23/07/2023;00:02:08;72;103;6;;;;;;;;;;;;;;;;
23/07/2023;00:02:09;65;103;7;;;;;;;;;;;;;;;;
23/07/2023;00:02:12;82;103;8;;;;;;;;;;;;;;;;
23/07/2023;00:02:13;36;103;9;;;;;;;;;;;;;;;;
23/07/2023;00:02:14;38;103;10;;;;;;;;;;;;;;;;
23/07/2023;00:02:16;65;103;11;;;;;;;;;;;;;;;;
23/07/2023;00:02:18;63;103;12;;;;;;;;;;;;;;;;
23/07/2023;00:02:20;65;103;13;;;;;;;;;;;;;;;;
23/07/2023;00:02:22;61;103;14;;;;;;;;;;;;;;;;
23/07/2023;00:02:23;59;103;15;;;;;;;;;;;;;;;;
23/07/2023;00:02:26;78;103;16;;;;;;;;;;;;;;;;
23/07/2023;00:02:27;45;103;17;;;;;;;;;;;;;;;;
23/07/2023;00:02:29;69;103;18;;;;;;;;;;;;;;;;
23/07/2023;00:02:32;72;103;19;;;;;;;;;;;;;;;;
23/07/2023;00:02:34;80;103;20;;;;;;;;;;;;;;;;
23/07/2023;00:02:36;62;103;21;;;;;;;;;;;;;;;;
23/07/2023;00:02:38;72;103;22;;;;;;;;;;;;;;;;
23/07/2023;00:02:40;62;103;23;;;;;;;;;;;;;;;;
23/07/2023;00:02:42;58;103;24;;;;;;;;;;;;;;;;
23/07/2023;00:02:43;55;103;25;;;;;;;;;;;;;;;;
23/07/2023;00:02:44;23;103;26;;;;;;;;;;;;;;;;
23/07/2023;00:02:45;37;103;27;;;;;;;;;;;;;;;;
23/07/2023;00:02:45;2;103;28;;;;;;;;;;;;;;;;
23/07/2023;00:02:47;55;103;29;;;;;;;;;;;;;;;;
23/07/2023;00:02:49;81;103;30;;;;;;;;;;;;;;;;
23/07/2023;00:02:51;67;103;31;;;;;;;;;;;;;;;;
23/07/2023;00:02:54;83;103;32;;;;;;;;;;;;;;;;
23/07/2023;00:02:56;77;103;33;;;;;;;;;;;;;;;;
23/07/2023;00:02:59;77;103;34;;;;;;;;;;;;;;;;
23/07/2023;00:03:00;50;103;35;;;;;;;;;;;;;;;;
23/07/2023;00:03:01;40;103;36;;;;;;;;;;;;;;;;
23/07/2023;00:03:03;70;103;37;;;;;;;;;;;;;;;;
23/07/2023;00:03:04;25;103;38;;;;;;;;;;;;;;;;
23/07/2023;00:03:05;35;103;39;;;;;;;;;;;;;;;;
23/07/2023;00:03:06;33;103;40;;;;;;;;;;;;;;;;
23/07/2023;00:03:07;50;103;41;;;;;;;;;;;;;;;;
23/07/2023;00:03:08;40;103;42;;;;;;;;;;;;;;;;
23/07/2023;00:03:10;49;103;43;;;;;;;;;;;;;;;;
23/07/2023;00:03:11;57;103;44;;;;;;;;;;;;;;;;
